Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B161469,04/25/2016,,,2100 Block Of 18th Avenue,94116,7,West of Twin Peaks,"37.7477565316071, -122.475021191328"
B161409,04/22/2016,"$27,500.00",1,0 Block Of Kissling Street,94103,6,South of Market,"37.7728460202255, -122.414655134717"
B161410,04/22/2016,"$30,000.00",1,100 Block Of Haight Street,94102,5,Hayes Valley,"37.772900089786, -122.424646169167"
B161414,04/22/2016,,,500 Block Of Dolores Street,94110,8,Mission,"37.7606376836144, -122.425843697547"
B161415,04/22/2016,,,400 Block Of Diamond Street,94114,8,Noe Valley,"37.7551583611566, -122.436740716091"
B161416,04/22/2016,,,600 Block Of Madrid Street,94112,11,Excelsior,"37.7193135097452, -122.434630200507"
B161417,04/22/2016,"$15,000.00",1,0 Block Of Buchanan Street,94102,8,Hayes Valley,"37.7700778990981, -122.426592754519"
B161407,04/21/2016,,,200 Block Of Vicksburg Street,94114,8,Noe Valley,"37.7520139417411, -122.428512206668"
B161408,04/21/2016,,,2100 Block Of Steiner Street,94115,2,Pacific Heights,"37.7894090590599, -122.435558853478"
B161826,04/21/2016,,,1600 Block Of 34th Avenue,94122,4,Sunset/Parkside,"37.7563254808746, -122.492809753877"
B161400,04/20/2016,,,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B161401,04/20/2016,"$1,500.00",2,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B161402,04/20/2016,"$2,500.00",2,200 Block Of 9th Street,94103,6,South of Market,"37.774817064227, -122.412845031059"
B161403,04/20/2016,,,1300 Block Of 41st Avenue,94122,4,Sunset/Parkside,"37.7615947608981, -122.500563667463"
B161404,04/20/2016,"$35,000.00",4,700 Block Of Arguello Boulevard,94118,1,Lone Mountain/USF,"37.7754322711481, -122.458380002824"
B161405,04/20/2016,,,0 Block Of Putnam Street,94110,9,Bernal Heights,"37.7389701398971, -122.410737151214"
B161406,04/20/2016,,,1600 Block Of Church Street,94131,8,Noe Valley,"37.7448938219688, -122.42685321965"
B161394,04/18/2016,"$96,785.00",1,3900 Block Of 26th Street,94131,8,Noe Valley,"37.7484838218738, -122.428239848114"
B161395,04/18/2016,,,2800 Block Of Pierce Street,94123,2,Marina,"37.7961971224445, -122.438753767562"
B161396,04/18/2016,,,2800 Block Of Pierce Street,94123,2,Marina,"37.7961971224445, -122.438753767562"
B161397,04/18/2016,"$10,000.00",1,0 Block Of Bradford Street,94110,9,Bernal Heights,"37.7416254408882, -122.409403908613"
B161398,04/18/2016,,,0 Block Of Manzanita Avenue,94118,2,Presidio Heights,"37.7851350481938, -122.451021710495"
B161399,04/18/2016,,,200 Block Of Miramar Avenue,94112,7,Oceanview/Merced/Ingleside,"37.7227487592139, -122.458255467922"
B161385,04/15/2016,,,1100 Block Of Church Street,94114,8,Noe Valley,"37.7528749336884, -122.427474292904"
B161388,04/15/2016,,,700 Block Of Madrid Street,94112,11,Excelsior,"37.7177021982462, -122.435684591498"
B161389,04/15/2016,,,0 Block Of Girard Street,94134,9,Portola,"37.7315755865299, -122.406264798389"
B161390,04/15/2016,"$12,500.00",2,1600 Block Of Beach Street,94123,2,Marina,"37.8046936847243, -122.436278802064"
B161391,04/15/2016,,,1300 Block Of Taylor Street,94108,3,Nob Hill,"37.7947678771321, -122.413031075751"
B161392,04/15/2016,,,2000 Block Of Pacific Avenue,94109,2,Pacific Heights,"37.7941365534036, -122.428992521166"
B161393,04/15/2016,,,600 Block Of Steiner Street,94117,5,Hayes Valley,"37.7751684153377, -122.43266741405"
B161323,04/14/2016,,,1300 Block Of Palou Avenue,94124,10,Bayview Hunters Point,"37.7312794563625, -122.386266955922"
B161324,04/14/2016,,,100 Block Of Porter Street,94110,9,Bernal Heights,"37.7337830684196, -122.418279408577"
B161325,04/14/2016,,,0 Block Of Stark Street,94133,3,Chinatown,"37.7973093117107, -122.408254403773"
B161382,04/14/2016,,,1700 Block Of Vallejo Street,94123,2,Pacific Heights,"37.7963225459407, -122.426060344087"
B161383,04/14/2016,"$26,597.00",5,0 Block Of Farragut Avenue,94112,11,Outer Mission,"37.7103780524358, -122.449751419035"
B161384,04/14/2016,"$16,600.00",1,3200 Block Of 21st Street,94110,9,Mission,"37.7569802291808, -122.420733171488"
B161386,04/14/2016,,,300 Block Of Noe Street,94114,8,Castro/Upper Market,"37.7634109528182, -122.432957006524"
B161387,04/14/2016,,,300 Block Of Noe Street,94114,8,Castro/Upper Market,"37.7634109528182, -122.432957006524"
B161315,04/13/2016,"$25,000.00",4,900 Block Of Haight Street,94117,5,Haight Ashbury,"37.7711077229875, -122.437866453423"
B161316,04/13/2016,"$55,000.00",1,2700 Block Of Gough Street,94123,2,Marina,"37.798591938237, -122.427431483926"
B161317,04/13/2016,,,2400 Block Of Larkin Street,94109,2,Russian Hill,"37.8003764779892, -122.420904551735"
B161318,04/13/2016,,,2400 Block Of Larkin Street,94109,2,Russian Hill,"37.8003764779892, -122.420904551735"
B161319,04/13/2016,,,2400 Block Of Larkin Street,94109,2,Russian Hill,"37.8003764779892, -122.420904551735"
B161320,04/13/2016,,,2400 Block Of Larkin Street,94109,2,Russian Hill,"37.8003764779892, -122.420904551735"
B161321,04/13/2016,,,2400 Block Of Larkin Street,94109,2,Russian Hill,"37.8003764779892, -122.420904551735"
B161322,04/13/2016,"$100,000.00",3,24502400 Block Of Filbert Street,94123,2,Marina,"37.7975523065865, -122.439799971114"
B161311,04/11/2016,,,200 Block Of 26th Avenue,94121,2,Outer Richmond,"37.7847621492578, -122.48622534236"
B161312,04/11/2016,"$48,000.00",1,4600 Block Of 3rd Street,94124,10,Bayview Hunters Point,"37.7360180528659, -122.390409391835"
B161313,04/11/2016,,,600 Block Of Stockton Street,94108,3,Nob Hill,"37.7917657999121, -122.407489250454"
B161308,04/08/2016,,,0 Block Of Buchanan Street,94102,8,Hayes Valley,"37.7700778990981, -122.426592754519"
B161309,04/08/2016,,,1400 Block Of Jefferson Street,94123,2,Marina,"37.8056338706661, -122.43641936884"
B161310,04/08/2016,"$34,500.00",2,1600 Block Of 30th Avenue,94122,4,Sunset/Parkside,"37.7565210167883, -122.488382449676"
B161314,04/08/2016,,,1400 Block Of Jefferson Street,94123,2,Marina,"37.8056338706661, -122.43641936884"
B161297,04/07/2016,,,300 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7725827939262, -122.430463244401"
B161298,04/07/2016,,,300 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7725827939262, -122.430463244401"
B161299,04/07/2016,,,300 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7725827939262, -122.430463244401"
B161300,04/07/2016,,,300 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7725827939262, -122.430463244401"
B161301,04/07/2016,,,300 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7725827939262, -122.430463244401"
B161302,04/07/2016,,,300 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7725827939262, -122.430463244401"
B161303,04/07/2016,,,300 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7725827939262, -122.430463244401"
B161304,04/07/2016,,,300 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7725827939262, -122.430463244401"
B161305,04/07/2016,,,800 Block Of 26th Avenue,94121,1,Outer Richmond,"37.7734572246839, -122.485260560877"
B161306,04/07/2016,,,500 Block Of Vallejo Street,94133,3,North Beach,"37.7989446285905, -122.406294561407"
B161307,04/07/2016,"$120,000.00",1,300 Block Of San Carlos Street,94110,9,Mission,"37.7577823081628, -122.419834201322"
B161296,04/06/2016,"$8,400.00",1,100 Block Of Page Street,94102,5,Hayes Valley,"37.7740413443195, -122.423188032512"
B161294,04/05/2016,,,200 Block Of 26th Street,94121,10,Bayview Hunters Point,"37.751802251526, -122.382332123683"
B161295,04/05/2016,"$43,300.00",2,2200 Block Of 25th Avenue,94116,4,Sunset/Parkside,"37.7455619305903, -122.482386581144"
B161289,04/04/2016,"$50,000.00",1,600 Block Of Capp Street,94110,9,Mission,"37.7562975560051, -122.417804429589"
B161290,04/04/2016,,,600 Block Of Diamond Street,94114,8,Noe Valley,"37.7523557461197, -122.436484541671"
B161291,04/04/2016,,,600 Block Of Diamond Street,94114,8,Noe Valley,"37.7523557461197, -122.436484541671"
B161292,04/04/2016,,,400 Block Of 23rd Avenue,94121,1,Outer Richmond,"37.7792293082024, -122.482453152636"
B161293,04/04/2016,"$20,000.00",1,1500 Block Of Mcallister Street,94115,5,Western Addition,"37.7779545304876, -122.43754201259"
B161194,04/01/2016,,,300 Block Of Steiner Street,94117,5,Haight Ashbury,"37.7723545803198, -122.432254532613"
B161195,04/01/2016,,,100 Block Of Buchanan Street,94102,5,Hayes Valley,"37.7711176951222, -122.426943513662"
B161192,03/31/2016,,,900 Block Of Alabama Street,94110,9,Mission,"37.7566821047794, -122.411417481348"
B161193,03/31/2016,"$10,000.00",1,1400 Block Of 27th Avenue,94122,4,Sunset/Parkside,"37.7603853186778, -122.48557194661"
B161190,03/30/2016,,,200 Block Of Laussat Street,94117,5,Hayes Valley,"37.7714809363855, -122.431165448605"
B161191,03/30/2016,,,2500 Block Of 25th Avenue,94116,4,Sunset/Parkside,"37.7399677616339, -122.481993144975"
B161234,03/30/2016,,,700 Block Of Ellis Street,94109,6,Tenderloin,"37.7840781681273, -122.418524720932"
B161189,03/29/2016,,,300 Block Of Sanchez Street,94114,8,Castro/Upper Market,"37.7635589217143, -122.430873427443"
B161232,03/29/2016,,,2500 Block Of 31st Avenue,94116,4,Sunset/Parkside,"37.7396840166895, -122.488420772977"
B161233,03/29/2016,"$24,055.00",4,1300 Block Of Bayshore Boulevard,94124,10,Bayview Hunters Point,"37.7273891077235, -122.401922599962"
B161201,03/28/2016,"$35,384.61",2,1200 Block Of Waller Street,94117,5,Haight Ashbury,"37.7693364040254, -122.444272580997"
B161202,03/28/2016,"$11,780.00",2,100 Block Of Pope Street,94112,11,Excelsior,"37.7133070889814, -122.440814436255"
B161203,03/28/2016,"$38,198.24",1,500 Block Of Dolores Street,94110,8,Mission,"37.7606376836144, -122.425843697547"
B161204,03/28/2016,"$27,811.84",2,3000 Block Of Jackson Street,94115,2,Pacific Heights,"37.7911578087097, -122.445308523162"
B161205,03/28/2016,,,3000 Block Of Jackson Street,94115,2,Pacific Heights,"37.7911578087097, -122.445308523162"
B161206,03/28/2016,"$55,000.00",4,3000 Block Of Jackson Street,94115,2,Pacific Heights,"37.7911578087097, -122.445308523162"
B161207,03/28/2016,,,3000 Block Of Jackson Street,94115,2,Pacific Heights,"37.7911578087097, -122.445308523162"
B161208,03/28/2016,"$100,000.00",1,3000 Block Of Jackson Street,94115,2,Pacific Heights,"37.7911578087097, -122.445308523162"
B161209,03/28/2016,,,200 Block Of 11th Avenue,94118,1,Inner Richmond,"37.7836341349838, -122.469908010819"
B161210,03/28/2016,,,200 Block Of 11th Avenue,94118,1,Inner Richmond,"37.7836341349838, -122.469908010819"
B161211,03/28/2016,"$21,613.60",2,200 Block Of 11th Avenue,94118,1,Inner Richmond,"37.7836341349838, -122.469908010819"
B161212,03/28/2016,,,200 Block Of 11th Avenue,94118,1,Inner Richmond,"37.7836341349838, -122.469908010819"
B161213,03/28/2016,,,200 Block Of 11th Avenue,94118,1,Inner Richmond,"37.7836341349838, -122.469908010819"
B161214,03/28/2016,,,200 Block Of 11th Avenue,94118,1,Inner Richmond,"37.7836341349838, -122.469908010819"
B161215,03/28/2016,,,2100 Block Of California Street,94115,2,Pacific Heights,"37.789483356427, -122.429739105636"
B161216,03/28/2016,,,2100 Block Of California Street,94115,2,Pacific Heights,"37.789483356427, -122.429739105636"
B161217,03/28/2016,,,2100 Block Of California Street,94115,2,Pacific Heights,"37.789483356427, -122.429739105636"
B161218,03/28/2016,,,2100 Block Of California Street,94115,2,Pacific Heights,"37.789483356427, -122.429739105636"
B161219,03/28/2016,,,2100 Block Of California Street,94115,2,Pacific Heights,"37.789483356427, -122.429739105636"
B161220,03/28/2016,,,2100 Block Of California Street,94115,2,Pacific Heights,"37.789483356427, -122.429739105636"
B161221,03/28/2016,,,2100 Block Of California Street,94115,2,Pacific Heights,"37.789483356427, -122.429739105636"
B161222,03/28/2016,,,2400 Block Of Octavia Street,94109,2,Pacific Heights,"37.7946378138201, -122.428320113453"
B161223,03/28/2016,,,2400 Block Of Octavia Street,94109,2,Pacific Heights,"37.7946378138201, -122.428320113453"
B161224,03/28/2016,,,1200 Block Of Union Street,94109,2,Russian Hill,"37.7991072024538, -122.420226685239"
B161225,03/28/2016,,,1200 Block Of Union Street,94109,2,Russian Hill,"37.7991072024538, -122.420226685239"
B161226,03/28/2016,,,1200 Block Of Union Street,94109,2,Russian Hill,"37.7991072024538, -122.420226685239"
B161227,03/28/2016,,,2500 Block Of Polk Street,94109,2,Russian Hill,"37.8001676043418, -122.422550837706"
B161228,03/28/2016,,,2500 Block Of Polk Street,94109,2,Russian Hill,"37.8001676043418, -122.422550837706"
B161229,03/28/2016,,,2500 Block Of Polk Street,94109,2,Russian Hill,"37.8001676043418, -122.422550837706"
B161230,03/28/2016,,,2500 Block Of Polk Street,94109,2,Russian Hill,"37.8001676043418, -122.422550837706"
B161231,03/28/2016,"$60,000.00",3,500 Block Of 40th Avenue,94121,1,Outer Richmond,"37.7783895131565, -122.500800305072"
B161122,03/25/2016,,,1000 Block Of Larkin Street,94109,3,Nob Hill,"37.7872715203045, -122.418249647967"
B161123,03/25/2016,,,1000 Block Of Larkin Street,94109,3,Nob Hill,"37.7872715203045, -122.418249647967"
B161124,03/25/2016,,,1000 Block Of Larkin Street,94109,3,Nob Hill,"37.7872715203045, -122.418249647967"
B161129,03/25/2016,"$30,000.00",2,1700 Block Of 20th Avenue,94122,4,Sunset/Parkside,"37.7551297159093, -122.477545283967"
B161130,03/25/2016,,,200 Block Of Grand View Avenue,94114,8,Twin Peaks,"37.7537957314664, -122.441506791801"
B161131,03/25/2016,"$31,466.00",2,0 Block Of Jordan Avenue,94118,2,Presidio Heights,"37.7849495598238, -122.456819204649"
B161132,03/25/2016,"$18,109.00",2,800 Block Of Broderick Street,94115,5,Western Addition,"37.7780404371681, -122.440188459734"
B161120,03/24/2016,,,0 Block Of Alpine Terrace,94117,8,Haight Ashbury,"37.7696376000813, -122.437611176904"
B161121,03/24/2016,"$175,000.00",2,1100 Block Of Pacific Avenue,94133,3,Nob Hill,"37.7960804793121, -122.41383266925"
B161110,03/23/2016,,,600 Block Of Bush Street,94108,3,Nob Hill,"37.7903994239191, -122.407326986518"
B161111,03/23/2016,,,600 Block Of Bush Street,94108,3,Nob Hill,"37.7903994239191, -122.407326986518"
B161112,03/23/2016,"$20,000.00",1,2200 Block Of North Point Street,94123,2,Marina,"37.8027222133711, -122.444258698097"
B161113,03/23/2016,"$20,000.00",1,2200 Block Of North Point Street,94123,2,Marina,"37.8027222133711, -122.444258698097"
B161114,03/23/2016,,,2200 Block Of North Point Street,94123,2,Marina,"37.8027222133711, -122.444258698097"
B161115,03/23/2016,,,1400 Block Of 29th Avenue,94122,4,Sunset/Parkside,"37.760296993035, -122.487574747032"
B161116,03/23/2016,,,300 Block Of Park Street,94110,9,Bernal Heights,"37.7364374645373, -122.417989910582"
B161117,03/23/2016,"$70,000.00",1,400 Block Of Filbert Street,94133,3,North Beach,"37.801650127809, -122.406745753983"
B161118,03/23/2016,,,500 Block Of Connecticut Street,94107,10,Potrero Hill,"37.758696595867, -122.397057095982"
B161119,03/23/2016,"$5,890.00",1,1700 Block Of 35th Avenue,94122,4,Sunset/Parkside,"37.7544147651099, -122.493753724017"
B161107,03/22/2016,,,600 Block Of De Haro Street,94107,10,Potrero Hill,"37.7616466360645, -122.401331077672"
B161108,03/22/2016,,,600 Block Of De Haro Street,94107,10,Potrero Hill,"37.7616466360645, -122.401331077672"
B161109,03/22/2016,,,1400 Block Of 47th Avenue,94122,4,Sunset/Parkside,"37.7594417948318, -122.50700265541"
B161103,03/21/2016,,,1500 Block Of Mcallister Street,94115,5,Western Addition,"37.7779545304876, -122.43754201259"
B161104,03/21/2016,,,800 Block Of Shotwell Street,94110,9,Mission,"37.7548379827356, -122.415327726128"
B161105,03/21/2016,"$61,300.00",3,1700 Block Of 44th Avenue,94122,4,Sunset/Parkside,"37.75398948545, -122.50339646988"
B161106,03/21/2016,,,0 Block Of Gough Street,94102,5,Hayes Valley,"37.7733777976367, -122.42233924386"
B161098,03/18/2016,"$15,000.00",2,0 Block Of Pearl Street,94103,8,Mission,"37.7702249019654, -122.423794594898"
B161099,03/18/2016,,,2000 Block Of Palou Avenue,94124,10,Bayview Hunters Point,"37.7387899959951, -122.399272189874"
B161100,03/18/2016,,,2800 Block Of Bush Street,94115,2,Presidio Heights,"37.785599391328, -122.444184112628"
B161101,03/18/2016,,,600 Block Of 9th Avenue,94118,1,Inner Richmond,"37.7761584735051, -122.467084259779"
B161102,03/18/2016,,,100 Block Of Carl Street,94117,5,Haight Ashbury,"37.7657621292673, -122.450691485316"
B161087,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161088,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161089,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161090,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161091,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161092,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161093,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161094,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161095,03/17/2016,"$10,600.00",3,2400 Block Of 26th Avenue,94116,4,Sunset/Parkside,"37.7417893680357, -122.483058319307"
B161096,03/17/2016,,,1700 Block Of Green Street,94123,2,Marina,"37.7970417088164, -122.427891886108"
B161097,03/17/2016,"$20,000.00",2,600 Block Of Broderick Street,94117,5,Hayes Valley,"37.7761874844816, -122.439682038399"
B161133,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161134,03/17/2016,,,100 Block Of South Park Street,94107,9,Bernal Heights,"37.7365449383207, -122.422323583401"
B161085,03/15/2016,"$107,920.00",6,200 Block Of Day Street,94131,8,Noe Valley,"37.7428855887183, -122.427705104183"
B161086,03/15/2016,"$142,517.00",6,200 Block Of Day Street,94131,8,Noe Valley,"37.7428855887183, -122.427705104183"
B161082,03/14/2016,,,0 Block Of Bonita Street,94109,3,Russian Hill,"37.7973537256486, -122.42262056899"
B161083,03/14/2016,,,1800 Block Of Keith Street,94124,10,Bayview Hunters Point,"37.7296352202642, -122.389080649992"
B161084,03/14/2016,"$8,000.00",1,1100 Block Of Francisco Street,94109,2,Russian Hill,"37.8032548287582, -122.424086026841"
B160939,03/11/2016,,,1000 Block Of York Street,94110,9,Mission,"37.7552580411775, -122.408352038955"
B161080,03/11/2016,"$34,000.00",3,600 Block Of 26th Avenue,94121,1,Outer Richmond,"37.7771880050267, -122.485530777259"
B161081,03/11/2016,"$10,000.00",2,1200 Block Of 21st Avenue,94122,4,Sunset/Parkside,"37.7644122531732, -122.479263390059"
B160900,03/10/2016,,,200 Block Of Castro Street,94114,8,Castro/Upper Market,"37.7645185040777, -122.435287518203"
B160901,03/10/2016,,,0 Block Of Malta Drive,94131,7,West of Twin Peaks,"37.7354310005362, -122.443949690749"
B160898,03/09/2016,$500.00,1,800 Block Of Wisconsin Street,94107,10,Potrero Hill,"37.756574965552, -122.398800339454"
B160899,03/09/2016,"$17,250.00",1,400 Block Of Oak Street,94102,5,Hayes Valley,"37.7744393906916, -122.4267065385"
B160895,03/08/2016,,,3400 Block Of 26th Street,94110,9,Mission,"37.7488691730159, -122.420061879914"
B160896,03/08/2016,,,1700 Block Of Mcallister Street,94115,5,Western Addition,"37.777425816243, -122.440841432499"
B160897,03/08/2016,"$4,000.00",2,2100 Block Of Laguna Street,94115,2,Pacific Heights,"37.7908903756157, -122.429249383955"
B160904,03/08/2016,$550.00,1,900 Block Of Garfield Street,94132,11,Oceanview/Merced/Ingleside,"37.7196981406662, -122.471202639415"
B160990,03/08/2016,"$25,000.00",1,2500 Block Of Lake Street,94121,2,Outer Richmond,"37.785618148342, -122.486751122831"
B160890,03/07/2016,,,1300 Block Of Montgomery Street,94133,3,North Beach,"37.8017478109758, -122.404443017866"
B160891,03/07/2016,,,0 Block Of Salmon Street,94133,3,Nob Hill,"37.7965397453761, -122.412680954899"
B160892,03/07/2016,"$8,000.00",1,800 Block Of Rhode Island Street,94107,10,Potrero Hill,"37.7590433306866, -122.401949185845"
B160893,03/07/2016,,,1400 Block Of Jones Street,94109,3,Nob Hill,"37.7945402598083, -122.414804970999"
B160894,03/07/2016,"$40,000.00",3,500 Block Of 17th Avenue,94121,1,Outer Richmond,"37.7776266106181, -122.475887689431"
B160889,03/04/2016,,,100 Block Of Belvedere Street,94117,5,Haight Ashbury,"37.7677916969446, -122.4493322947"
B160839,03/03/2016,,,2100 Block Of Lawton Street,94122,4,Sunset/Parkside,"37.7575108003902, -122.485840449063"
B160840,03/03/2016,"$160,000.00",1,2100 Block Of Lawton Street,94122,4,Sunset/Parkside,"37.7575108003902, -122.485840449063"
B160841,03/03/2016,"$12,780.00",2,1300 Block Of 16th Avenue,94122,5,Inner Sunset,"37.7627690508287, -122.473917054963"
B160842,03/03/2016,"$50,000.00",1,1800 Block Of Lombard Street,94123,2,Marina,"37.8002483465491, -122.431914332619"
B160834,03/02/2016,,,2000 Block Of Powell Street,94133,3,North Beach,"37.803489775935, -122.411553189747"
B160835,03/02/2016,"$41,000.00",1,2000 Block Of Powell Street,94133,3,North Beach,"37.803489775935, -122.411553189747"
B160836,03/02/2016,,,500 Block Of Chestnut Street,94133,3,North Beach,"37.8038310510389, -122.412205194331"
B160837,03/02/2016,"$50,838.00",1,2000 Block Of 15th Street,94114,8,Castro/Upper Market,"37.7661513079859, -122.429377891544"
B160838,03/02/2016,"$52,400.00",1,500 Block Of Chestnut Street,94133,3,North Beach,"37.8038310510389, -122.412205194331"
B160991,03/01/2016,,,1200 Block Of Brussels Street,94134,10,Visitacion Valley,"37.7168985412526, -122.401418865455"
B160829,02/29/2016,,,1000 Block Of Washington Street,94108,3,Chinatown,"37.79471488002, -122.41031637555"
B160785,02/26/2016,"$15,000.00",1,1800 Block Of 25th Avenue,94122,4,Sunset/Parkside,"37.7530220347558, -122.482903541281"
B160781,02/25/2016,,,2800 Block Of 24th Street,94110,9,Mission,"37.7528220749178, -122.409603405779"
B160779,02/24/2016,,,1900 Block Of Union Street,94123,2,Marina,"37.7976099466924, -122.43183185795"
B160780,02/24/2016,"$150,000.00",2,1800 Block Of Webster Street,94115,5,Pacific Heights,"37.7879192535751, -122.432024926646"
B160783,02/24/2016,"$52,333.16",2,0 Block Of Church Street,94114,8,Hayes Valley,"37.7698987248045, -122.429248840505"
B160784,02/24/2016,,,0 Block Of Church Street,94114,8,Hayes Valley,"37.7698987248045, -122.429248840505"
B160711,02/23/2016,"$19,500.00",2,1000 Block Of Dolores Street,94110,8,Mission,"37.7526439244495, -122.42508777824"
B160712,02/23/2016,,,100 Block Of Bartlett Street,94110,9,Mission,"37.7545718706336, -122.419712713805"
B160713,02/23/2016,"$45,200.00",2,100 Block Of Cortland Avenue,94110,9,Bernal Heights,"37.7400538108856, -122.420597203777"
B160714,02/23/2016,"$45,200.00",2,100 Block Of Cortland Avenue,94110,9,Bernal Heights,"37.7400538108856, -122.420597203777"
B160715,02/23/2016,"$74,959.92",2,0 Block Of Cook Street,94118,2,Presidio Heights,"37.7827442360409, -122.452392135096"
B160716,02/23/2016,,,2200 Block Of Filbert Street,94123,2,Marina,"37.7979705261897, -122.436513149736"
B160819,02/23/2016,"$60,000.00",1,100 Block Of Bartlett Street,94110,9,Mission,"37.7545718706336, -122.419712713805"
B160822,02/23/2016,,,100 Block Of Bartlett Street,94110,9,Mission,"37.7545718706336, -122.419712713805"
B160709,02/22/2016,,,0 Block Of Homestead Street,94114,8,Noe Valley,"37.7501683498011, -122.439399796602"
B160710,02/22/2016,"$26,000.00",2,2300 Block Of Bush Street,94115,2,Pacific Heights,"37.7866515633053, -122.435915167425"
B160654,02/19/2016,,,3100 Block Of Castro Street,94131,8,Glen Park,"37.7349284749586, -122.432381644956"
B160655,02/19/2016,"$70,000.00",4,1300 Block Of Vermont Street,94110,10,Mission,"37.7525362608495, -122.403415461032"
B160656,02/19/2016,,,1300 Block Of Vermont Street,94110,10,Mission,"37.7525362608495, -122.403415461032"
B160657,02/19/2016,,,700 Block Of Lake Street,94118,2,Inner Richmond,"37.786612094139, -122.467368173846"
B160658,02/19/2016,"$28,000.00",4,300 Block Of Cornwall Street,94118,1,Inner Richmond,"37.7848265147031, -122.462945569944"
B160651,02/18/2016,"$17,750.00",1,1800 Block Of Mcallister Street,94115,5,Lone Mountain/USF,"37.7772146317021, -122.442488679774"
B160652,02/18/2016,"$34,000.00",2,700 Block Of Clementina Street,94103,6,South of Market,"37.7748529873443, -122.411439178562"
B160653,02/18/2016,,,900 Block Of Union Street,94133,3,Russian Hill,"37.7997017702149, -122.414650949628"
B160649,02/17/2016,,,3000 Block Of Pierce Street,94123,2,Marina,"37.7980766454995, -122.438993733709"
B160650,02/17/2016,"$5,000.00",2,1200 Block Of Polk Street,94109,3,Nob Hill,"37.7879809619193, -122.420231590326"
B160604,02/12/2016,,,0 Block Of Tucker Avenue,94134,10,Visitacion Valley,"37.7154333562201, -122.404561161911"
B160605,02/12/2016,,,200 Block Of Kensington Way,94127,7,West of Twin Peaks,"37.7427618055309, -122.461688421911"
B160606,02/12/2016,,,1600 Block Of Fulton Street,94117,5,Lone Mountain/USF,"37.776067080323, -122.443945228283"
B160601,02/11/2016,,,0 Block Of Nobles Alley,94133,3,North Beach,"37.8010318212569, -122.407383979315"
B160602,02/11/2016,,,0 Block Of Nobles Alley,94133,3,North Beach,"37.8010318212569, -122.407383979315"
B160603,02/11/2016,,,600 Block Of Ofarrell Street,94109,6,Tenderloin,"37.7855029031472, -122.414807788543"
B160600,02/10/2016,,,300 Block Of Buchanan Street,94102,5,Hayes Valley,"37.7727724969859, -122.427141201971"
B160556,02/09/2016,,,300 Block Of Haight Street,94102,5,Hayes Valley,"37.7723661490425, -122.42796932761"
B160292,02/04/2016,,,400 Block Of Texas Street,94107,10,Potrero Hill,"37.7607171898772, -122.395445568035"
B160287,02/03/2016,,,1000 Block Of Capp Street,94110,9,Mission,"37.7499099821997, -122.417055896338"
B160288,02/03/2016,,,1000 Block Of Capp Street,94110,9,Mission,"37.7499099821997, -122.417055896338"
B160289,02/03/2016,,,1000 Block Of Capp Street,94110,9,Mission,"37.7499099821997, -122.417055896338"
B160290,02/03/2016,,,1600 Block Of Hayes Street,94117,5,Lone Mountain/USF,"37.7741999231877, -122.443568815382"
B160291,02/03/2016,"$20,000.00",1,1300 Block Of Hampshire Street,94110,9,Mission,"37.7505089340242, -122.406993253862"
B160282,02/02/2016,,,4400 Block Of 18th Street,94114,8,Castro/Upper Market,"37.7607142872493, -122.438806415851"
B160283,02/02/2016,"$17,500.00",2,200 Block Of Rome Street,94112,11,Outer Mission,"37.7152832207725, -122.446945630245"
B160284,02/02/2016,"$50,000.00",5,2900 Block Of Harrison Street,94110,9,Mission,"37.7502392381747, -122.41160055919"
