Fiscal Year,Related Gov't Units,Organization Group Code,Organization Group,Department Code,Department,Program Code,Program,Character Code,Character,Object Code,Object,Sub-object Code,Sub-object,Fund Type Code,Fund Type,Fund Code,Fund,Fund Category Code,Fund Category,Job Family,Job,FTE
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAZ,Street Environmental Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SGTF,Parking & Traffic Gasoline Tax Fund,1,Operating,Semi-Skilled & General Labor,General Laborer,13
2016,No,02,"Public Works, Transportation & Commerce",ECN,Economic and Workforce Development,BK5,Economic Development,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,2,Annual Projects,"Budget, Admn & Stats Analysis",Pr Administrative Analyst,2.5
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CGQ,Integrated Intake,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager II,1
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BEN,Rail & Bus Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1,Operating,"Clerical, Secretarial & Steno",Senior Clerk Typist,7
2016,No,01,Public Protection,JUV,Juvenile Probation,AKC,Probation Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Senior Clerk,1
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE1,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5,Work Orders/Overhead,Information Systems,IS Project Director,2
2016,No,04,Community Health,DPH,Public Health,DHA,Central Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,2,Annual Projects,Information Systems,IT Operations Support Admin V,1
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCR,General Management,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1,Operating,Management,Manager III,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG5,Airport Director,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Management,Manager III,1
2016,No,02,"Public Works, Transportation & Commerce",WTR,PUC Water Department,BDK,Water Transmission/ Distribution,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1,Operating,Sub-Professional Engineering,Engineering Assistant,1
2016,No,02,"Public Works, Transportation & Commerce",PRT,Port,BKY,Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5P,Port Of San Francisco Funds,5PAAA,Port Operating Fund,1,Operating,Supervisory-Labor & Trade,Electrician Supervisor 1,1
2016,No,04,Community Health,DPH,Public Health,DPB,Environmental Health Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,"Payroll, Billing & Accounting",Accountant II,0.5
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCW,Human Resources,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1,Operating,Personnel,Principal Personnel Analyst,1
2016,No,03,Human Welfare & Neighborhood Development,ENV,Environment,CIU,Environment-Outreach,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SENV,Environmental Protection Program Fund,4,Grants,Energy & Environment,Environmental Spec,0.2
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Med Therapy & Auxiliary,Physical Therapist Assistant,3
2016,No,06,General Administration & Finance,CPC,City Planning,FEF,Administration/Planning,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Executive Secretary 1,1.5
2016,No,06,General Administration & Finance,TIS,General Services Agency - Technology,BIU,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1,Operating,Management,Dep Dir IV,1
2016,No,01,Public Protection,SHF,Sheriff,ASB,Sheriff Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,3
2016,No,04,Community Health,DPH,Public Health,D6P,SFGH - Long Term Care - Rf Psychiatry,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Human Services,Hospital Eligiblity Worker,1
2016,No,03,Human Welfare & Neighborhood Development,WOM,Department of the Status of Women,CAE,Commission On Status Of Women,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,1
2016,No,01,Public Protection,ADP,Adult Probation,ARS,Realignment Services-Post Release Comm.,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Chief Clerk,1
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCU,Engineering,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,5,Work Orders/Overhead,Turnover Allowance/Adjustment,Estimated Project Funding - Misc,-389
2016,No,04,Community Health,DPH,Public Health,DMF,Forensics - Ambulatory Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IS Engineer-Journey,1
2016,No,01,Public Protection,SHF,Sheriff,AMC,Court Security And Process,001,Salaries,002,Permanent Salaries-Uniform,00201,Uniform-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Correction & Detention,Senior Deputy Sheriff,13
2016,No,04,Community Health,DPH,Public Health,DMM,Mental Health - Community Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IS Business Analyst-Senior,4
2016,No,03,Human Welfare & Neighborhood Development,ENV,Environment,CIS,Recycling,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",1,Operating,Energy & Environment,Environmental Spec,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG6,Facilities,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Supervisory-Labor & Trade,Steamfitter Supervisor 2,1
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CAL,Family And Children's Service,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager III,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG1,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Management,Manager III,4
2016,No,01,Public Protection,JUV,Juvenile Probation,AKC,Probation Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-4.99
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,ECU,Recreation,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Temporary Positions,6.34
2016,No,01,Public Protection,DAT,District Attorney,AII,Support Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Clerk,1
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BEG,Agency Wide Expenses,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5,Work Orders/Overhead,Semi-Skilled & General Labor,Track Maintenance Worker,3
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Hospital Administration,Medical Records Clerk,22.65
2016,No,04,Community Health,DPH,Public Health,FAM,Mental Health - Children's Program,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager II,1.8
2016,No,05,Culture & Recreation,LIB,Public Library,EGD,Collection Technical Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,"Budget, Admn & Stats Analysis",Junior Management Assistant,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG6,Facilities,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Supervisory-Labor & Trade,Plumber Supervisor 2,1
2016,No,04,Community Health,DPH,Public Health,D1F,SFGH - Acute Care - Forensics,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Nursing,Registered Nurse,9.8
2016,No,02,"Public Works, Transportation & Commerce",DBI,Department of Building Inspection,BPS,Plan Review Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SBIF,Building Inspection Fund,1,Operating,Professional Engineering,Engineer,16
2016,No,01,Public Protection,JUV,Juvenile Probation,ASC,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-10.75
2016,No,06,General Administration & Finance,CPC,City Planning,FDP,Current Planning,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Professional Engineering,Planner 2,10
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,"Lab, Pharmacy & Med Techs",X-Ray Laboratory Aide,32.93
2016,No,02,"Public Works, Transportation & Commerce",WTR,PUC Water Department,BDA,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Junior Administrative Analyst,2
2016,No,06,General Administration & Finance,CON,Controller,FDG,Accounting Operations,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-4.79
2016,No,02,"Public Works, Transportation & Commerce",ECN,Economic and Workforce Development,BL3,Joint Development,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,2,Annual Projects,Turnover Allowance/Adjustment,Temporary Positions,0.35
2016,No,05,Culture & Recreation,LIB,Public Library,EEF,Main Program,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,Library,Librarian 2,15
2016,No,05,Culture & Recreation,LIB,Public Library,EGH,Facilites,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,Library,Library Page,2
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BEN,Rail & Bus Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1,Operating,Journeyman Trade,Senior Power House Operator,6
2016,No,01,Public Protection,SHF,Sheriff,AMC,Court Security And Process,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Correction & Detention,Deputy Sheriff (SFERS),1
2016,No,03,Human Welfare & Neighborhood Development,ENV,Environment,CIQ,Environmental Justice / Youth Employment,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",1,Operating,Energy & Environment,Sr Environmental Spec,0.53
2016,No,06,General Administration & Finance,ADM,General Services Agency - City Admin,FAC,City Administrator - Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IS Business Analyst-Senior,1
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CGV,Welfare to Work,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager II,2
2016,No,02,"Public Works, Transportation & Commerce",ECN,Economic and Workforce Development,BL2,Finance And Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,4
2016,No,04,Community Health,DPH,Public Health,DMM,Mental Health - Community Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Payroll, Billing & Accounting",Health Care Billing Clerk 2,14
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG4,Chief Operating Officer,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Management,Dep Dir V,1
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BA1,Urban Forestry,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5,Work Orders/Overhead,Management,Manager VI,1
2016,No,06,General Administration & Finance,TIS,General Services Agency - Technology,BK4,Governance And Outreach,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1,Operating,Information Systems,IS Business Analyst-Senior,2
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BEG,Agency Wide Expenses,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5,Work Orders/Overhead,"Payroll, Billing & Accounting",Accountant III,2
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAM,Architecture,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5,Work Orders/Overhead,Administrative-DPW/PUC,Architectural Administrator,2
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,ECD,Structural Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Journeyman Trade,Senior Stationary Engineer,3
2016,No,05,Culture & Recreation,LIB,Public Library,EGH,Facilites,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,"Budget, Admn & Stats Analysis",Management Assistant,1
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE2,Parking & Traffic,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1,Operating,Legal & Court,Parking Hearing Examiner,8
2016,No,01,Public Protection,SHF,Sheriff,AFT,Security Services,001,Salaries,002,Permanent Salaries-Uniform,00201,Uniform-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Correction & Detention,Senior Deputy Sheriff,13
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG2,Business & Finance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Information Systems,IS Business Analyst-Senior,1
2016,No,06,General Administration & Finance,ASR,Assessor/Recorder,FDJ,Real Property,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Appraisal & Taxation,Pr Real Property Appraiser,6.25
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE2,Parking & Traffic,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1,Operating,"Clerical, Secretarial & Steno",Senior Clerk,7
2016,No,05,Culture & Recreation,LIB,Public Library,EGG,Information Technology,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,Information Systems,IS Project Director,1
2016,No,02,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,BAX,Wastewater Operations,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Senior Management Assistant,1
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Human Services,Hospital Eligiblity Worker,82.99
2016,No,06,General Administration & Finance,CAT,City Attorney,FA2,Claims,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Legal & Court,"Srclaimsinvstgtor,Cty Atty Ofc",6
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG1,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Management,Manager V,3
2016,No,04,Community Health,DPH,Public Health,DA5,Laguna Honda - Long Term Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1,Operating,Management,Food Service Mgr Administrator,1
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCT,Finance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-7.95
2016,No,02,"Public Works, Transportation & Commerce",DBI,Department of Building Inspection,BPS,Plan Review Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SBIF,Building Inspection Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-9.26
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Human Services,Senior Medical Social Worker,2
2016,No,02,"Public Works, Transportation & Commerce",PRT,Port,BK9,Engineering & Environmental,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5P,Port Of San Francisco Funds,5PAAA,Port Operating Fund,1,Operating,Management,Engineer/Architect Principal,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG6,Facilities,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Supervisory-Labor & Trade,Painter Supervisor 2,1
2016,No,02,"Public Works, Transportation & Commerce",WTR,PUC Water Department,BDJ,Water Source Of Supply,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1,Operating,Professional Engineering,Assoc Engineer,1
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAR,Building Repair And Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5,Work Orders/Overhead,Management,Manager IV,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG6,Facilities,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Journeyman Trade,Steamfitter Supervisor I,1
2016,No,04,Community Health,DPH,Public Health,DPH,Comm Hlth - Prevention - Hlth Education,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Public Health,Health Educator,0.5
2016,No,02,"Public Works, Transportation & Commerce",WTR,PUC Water Department,BDM,Water Treatment,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Junior Administrative Analyst,1
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Administrative-Labor & Trades,Bldgs & Grounds Maint Supt,1
2016,No,01,Public Protection,JUV,Juvenile Probation,AKC,Probation Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPPF,Public Protection Fund,4,Grants,Correction & Detention,"Counselor, Log Cabin Ranch",3
2016,No,02,"Public Works, Transportation & Commerce",WTR,PUC Water Department,BDA,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1,Operating,"Clerical, Secretarial & Steno",Secretary 2,1
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCT,Finance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1,Operating,Management,Manager VI,2
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE2,Parking & Traffic,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1,Operating,Street Transit,"Manager V, MTA",1
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CGV,Welfare to Work,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Community Development,Emp & Training Spec 4,10
2016,No,03,Human Welfare & Neighborhood Development,WOM,Department of the Status of Women,CAE,Commission On Status Of Women,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,0.01
2016,No,01,Public Protection,JUV,Juvenile Probation,AKE,Juvenile Hall,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager II,1
2016,No,06,General Administration & Finance,TIS,General Services Agency - Technology,BAK,Operations,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1,Operating,Management,Dep Dir III,1
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CAL,Family And Children's Service,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Budget, Admn & Stats Analysis",Administrative Analyst,1
2016,No,04,Community Health,DPH,Public Health,D5S,SFGH - Emergency - Psychiatric Services,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Nursing,Special Nurse,3.65
2016,No,06,General Administration & Finance,HRD,Human Resources,FDE,Workers Compensation,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SGSF,General Services Fund,1,Operating,Information Systems,IS Business Analyst-Senior,1
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCS,Management Information,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1,Operating,Information Systems,IS Engineer-Principal,15
2016,No,02,"Public Works, Transportation & Commerce",PRT,Port,BKY,Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5P,Port Of San Francisco Funds,5PAAA,Port Operating Fund,1,Operating,Journeyman Trade,Plumber,6
2016,Yes,06,General Administration & Finance,RET,Retirement System,FED,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,7P,Pension Trust Funds,7PRET,Employees' Retirement System,1,Operating,Management,Manager III,2
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BEG,Agency Wide Expenses,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5,Work Orders/Overhead,"Clerical, Secretarial & Steno",Senior Clerk,6
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BA1,Urban Forestry,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Journeyman Trade,Tile Setter,2
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BEG,Agency Wide Expenses,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5,Work Orders/Overhead,"Payroll, Billing & Accounting",Sr Payroll & Personnel Clerk,3
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCU,Engineering,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,5,Work Orders/Overhead,Professional Engineering,Planner 4,2
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CAO,Administrative Support,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Journeyman Trade,Apprentice Stationary Engineer,2
2016,No,06,General Administration & Finance,TIS,General Services Agency - Technology,BK4,Governance And Outreach,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Computer Operatns & Repro Svcs,Media Programming Spec,8
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCV,Strategic Planning/Compliance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1,Operating,Management,Manager III,1
